Ticker,Date/Time,Close,Signal10_20_15,MACD10_20,MA5_RSI10,RSI15
SET50,01/09/2017 10:00:00,1033.85,2.96,7.88,82.69,78.80
SET50,04/09/2017 09:00:00,1033.90,3.63,8.32,85.33,78.82
SET50,05/09/2017 09:00:00,1033.79,4.24,8.49,84.83,78.61
SET50,06/09/2017 09:00:00,1033.92,4.77,8.48,84.40,78.68
SET50,07/09/2017 09:00:00,1041.78,5.30,9.00,84.96,82.53
SET50,08/09/2017 09:00:00,1046.26,5.84,9.63,86.07,84.27
SET50,11/09/2017 09:00:00,1047.31,6.36,10.01,87.24,84.65
SET50,12/09/2017 09:00:00,1050.24,6.86,10.38,88.68,85.69
SET50,13/09/2017 09:00:00,1049.16,7.30,10.37,89.39,83.46
SET50,14/09/2017 10:00:00,1062.29,7.81,11.33,90.14,87.65
SET50,15/09/2017 09:00:00,1064.27,8.33,12.01,90.63,88.14
SET50,18/09/2017 09:00:00,1074.16,8.93,13.16,91.42,90.20
SET50,19/09/2017 09:00:00,1075.89,9.56,13.94,92.06,90.51
SET50,20/09/2017 09:00:00,1072.61,10.11,13.99,91.83,85.05
SET50,21/09/2017 09:00:00,1070.39,10.55,13.59,89.73,81.49
SET50,22/09/2017 09:00:00,1061.16,10.76,12.26,84.06,68.68
SET50,25/09/2017 09:00:00,1067.41,10.87,11.61,79.03,71.89
SET50,26/09/2017 09:00:00,1069.07,10.89,11.06,74.19,72.68
SET50,27/09/2017 09:00:00,1070.45,10.85,10.59,71.14,73.35
SET50,28/09/2017 09:00:00,1066.16,10.71,9.68,67.57,67.80
SET50,29/09/2017 09:00:00,1068.92,10.51,9.09,68.01,69.40
SET50,02/10/2017 09:00:00,1081.51,10.39,9.57,69.25,75.37
SET50,03/10/2017 09:00:00,1081.07,10.31,9.73,70.09,74.82
SET50,04/10/2017 09:00:00,1077.26,10.19,9.35,69.39,70.10
SET50,05/10/2017 09:00:00,1077.91,10.03,8.96,70.34,70.44
SET50,06/10/2017 09:00:00,1081.63,9.89,8.84,71.37,72.37
SET50,09/10/2017 09:00:00,1079.82,9.71,8.45,69.90,69.99
SET50,10/10/2017 09:00:00,1092.02,9.62,9.06,70.32,75.76
SET50,11/10/2017 09:00:00,1096.64,9.64,9.76,72.55,77.51
SET50,12/10/2017 09:00:00,1094.33,9.67,9.91,73.83,74.62
SET50,16/10/2017 09:00:00,1105.49,9.82,10.81,75.63,78.73
SET50,17/10/2017 09:00:00,1104.72,9.99,11.23,77.86,77.80
SET50,18/10/2017 09:00:00,1092.55,10.03,10.29,74.75,64.82
SET50,19/10/2017 09:00:00,1074.37,9.76,7.84,67.81,51.16
SET50,20/10/2017 09:00:00,1079.07,9.32,6.30,62.54,53.86
SET50,24/10/2017 09:00:00,1082.98,8.83,5.38,56.78,56.02
SET50,25/10/2017 09:00:00,1086.25,8.34,4.90,51.84,57.79
SET50,27/10/2017 09:00:00,1090.66,7.90,4.84,51.20,60.11
SET50,30/10/2017 09:00:00,1093.45,7.53,4.95,54.35,61.55
SET50,31/10/2017 09:00:00,1094.74,7.22,5.06,56.89,62.22
SET50,01/11/2017 09:00:00,1089.13,6.89,4.57,57.42,57.53
SET50,02/11/2017 09:00:00,1079.45,6.44,3.28,55.53,50.49
SET50,03/11/2017 09:00:00,1078.50,5.91,2.20,52.76,49.85
SET50,06/11/2017 09:00:00,1086.33,5.42,2.03,51.20,54.91
SET50,07/11/2017 09:00:00,1087.89,5.00,2.01,49.73,55.86
SET50,08/11/2017 09:00:00,1089.02,4.63,2.05,49.84,56.57
SET50,09/11/2017 09:00:00,1081.52,4.23,1.40,50.15,50.76
SET50,10/11/2017 09:00:00,1072.97,3.72,0.16,49.13,45.10
SET50,13/11/2017 09:00:00,1072.23,3.15,-0.83,46.35,44.64
SET50,14/11/2017 09:00:00,1083.79,2.69,-0.55,45.87,52.73
SET50,15/11/2017 09:00:00,1075.03,2.21,-1.09,43.62,47.14
SET50,16/11/2017 09:00:00,1076.63,1.77,-1.33,43.39,48.21
SET50,17/11/2017 09:00:00,1089.23,1.50,-0.40,46.93,55.80
SET50,20/11/2017 09:00:00,1090.86,1.37,0.44,50.84,56.68
SET50,21/11/2017 10:00:00,1089.93,1.32,0.98,51.94,56.00
SET50,22/11/2017 09:00:00,1092.94,1.36,1.62,55.10,57.76
SET50,23/11/2017 09:00:00,1090.30,1.42,1.83,57.27,55.67
SET50,24/11/2017 10:00:00,1083.70,1.41,1.39,55.68,50.74
SET50,27/11/2017 09:00:00,1084.57,1.38,1.11,54.03,51.35
SET50,28/11/2017 09:00:00,1091.06,1.38,1.45,53.98,55.72
SET50,29/11/2017 09:00:00,1091.68,1.43,1.73,53.52,56.12
