Ticker,Date/Time,Close,EMA10,EMA20,MACD10-20,MA20,RSI15
SPY,03/01/2022,477.71,473.20,469.88,3.33,468.86,59.83
SPY,04/01/2022,477.55,473.99,470.61,3.39,469.80,59.64
SPY,05/01/2022,468.38,472.97,470.40,2.58,469.81,49.93
SPY,06/01/2022,467.94,472.06,470.16,1.90,469.73,49.51
SPY,07/01/2022,466.09,470.97,469.77,1.20,469.72,47.73
SPY,10/01/2022,465.51,469.98,469.37,0.61,469.45,47.15
SPY,11/01/2022,469.75,469.94,469.40,0.53,469.61,51.68
SPY,12/01/2022,471.02,470.13,469.56,0.58,470.00,52.98
SPY,13/01/2022,464.53,469.12,469.08,0.04,469.69,46.21
SPY,14/01/2022,464.72,468.32,468.66,-0.35,469.61,46.42
SPY,18/01/2022,456.49,466.17,467.50,-1.34,469.44,39.16
SPY,19/01/2022,451.75,463.55,466.00,-2.46,469.28,35.72
SPY,20/01/2022,446.75,460.49,464.17,-3.68,468.46,32.49
SPY,21/01/2022,437.98,456.40,461.68,-5.28,466.98,27.77
SPY,24/01/2022,439.84,453.39,459.60,-6.21,465.44,30.08
SPY,25/01/2022,434.47,449.95,457.20,-7.26,463.30,27.37
SPY,26/01/2022,433.38,446.94,454.93,-8.00,461.12,26.84
SPY,27/01/2022,431.24,444.08,452.68,-8.60,458.81,25.80
SPY,28/01/2022,441.95,443.69,451.66,-7.96,457.10,38.58
SPY,31/01/2022,449.91,444.82,451.49,-6.67,455.85,45.99
SPY,01/02/2022,452.95,446.30,451.63,-5.33,454.61,48.53
SPY,02/02/2022,457.35,448.31,452.17,-3.86,453.60,52.03
SPY,03/02/2022,446.60,448.00,451.64,-3.64,452.51,44.17
SPY,04/02/2022,448.70,448.13,451.36,-3.24,451.55,45.88
SPY,07/02/2022,447.26,447.97,450.97,-3.00,450.61,44.87
SPY,08/02/2022,450.94,448.51,450.97,-2.46,449.88,48.00
SPY,09/02/2022,457.54,450.15,451.59,-1.44,449.27,53.13
SPY,10/02/2022,449.32,450.00,451.38,-1.38,448.18,46.95
SPY,11/02/2022,440.46,448.27,450.34,-2.07,446.98,41.40
SPY,14/02/2022,439.02,446.58,449.26,-2.68,445.70,40.56
SPY,15/02/2022,446.10,446.50,448.96,-2.46,445.18,46.28
SPY,16/02/2022,446.60,446.52,448.73,-2.22,444.92,46.66
SPY,17/02/2022,437.06,444.80,447.62,-2.83,444.43,40.66
SPY,18/02/2022,434.23,442.88,446.35,-3.47,444.25,39.07
SPY,22/02/2022,429.57,440.46,444.75,-4.29,443.73,36.53
SPY,23/02/2022,421.95,437.09,442.58,-5.49,443.11,32.81
SPY,24/02/2022,428.30,435.49,441.22,-5.73,442.85,38.42
SPY,25/02/2022,437.75,435.90,440.89,-4.98,443.18,45.65
SPY,28/02/2022,436.63,436.04,440.48,-4.45,442.91,44.98
SPY,01/03/2022,429.98,434.93,439.48,-4.55,441.92,41.13
SPY,02/03/2022,437.89,435.47,439.33,-3.86,441.16,46.91
SPY,03/03/2022,435.71,435.52,438.99,-3.47,440.08,45.59
SPY,04/03/2022,432.17,434.91,438.34,-3.43,439.36,43.46
SPY,07/03/2022,419.43,432.09,436.54,-4.44,437.90,36.82
SPY,08/03/2022,416.25,429.21,434.60,-5.39,436.35,35.38
SPY,09/03/2022,427.41,428.88,433.92,-5.03,435.17,43.69
SPY,10/03/2022,425.48,428.27,433.12,-4.85,433.57,42.67
SPY,11/03/2022,420.07,426.78,431.87,-5.10,432.10,39.88
SPY,14/03/2022,417.00,425.00,430.46,-5.46,430.93,38.36
SPY,15/03/2022,426.17,425.21,430.05,-4.84,430.29,45.07
SPY,16/03/2022,435.62,427.10,430.58,-3.48,429.76,50.97
SPY,17/03/2022,441.07,429.64,431.58,-1.93,429.49,54.02
SPY,18/03/2022,444.52,432.35,432.81,-0.46,429.86,55.88
SPY,21/03/2022,444.39,434.54,433.91,0.62,430.37,55.79
SPY,22/03/2022,449.59,437.27,435.41,1.87,431.37,58.68
SPY,23/03/2022,443.80,438.46,436.21,2.26,432.46,54.44
SPY,24/03/2022,450.49,440.65,437.57,3.08,433.57,58.18
SPY,25/03/2022,452.69,442.84,439.01,3.83,434.32,59.36
SPY,28/03/2022,455.91,445.21,440.62,4.60,435.28,61.08
SPY,29/03/2022,461.55,448.18,442.61,5.57,436.86,63.94
SPY,30/03/2022,458.70,450.10,444.14,5.95,437.90,61.49
SPY,31/03/2022,451.64,450.38,444.86,5.52,438.70,55.82
SPY,01/04/2022,452.92,450.84,445.62,5.21,439.74,56.60
SPY,04/04/2022,456.80,451.92,446.69,5.23,441.60,58.94
SPY,05/04/2022,451.03,451.76,447.10,4.66,443.34,54.27
SPY,06/04/2022,446.52,450.81,447.05,3.76,444.30,50.89
SPY,07/04/2022,448.77,450.44,447.21,3.23,445.46,52.47
SPY,08/04/2022,447.57,449.92,447.25,2.67,446.84,51.52
SPY,11/04/2022,439.92,448.10,446.55,1.55,447.98,45.86
SPY,12/04/2022,438.29,446.32,445.76,0.55,448.59,44.74
SPY,13/04/2022,443.31,445.77,445.53,0.24,448.97,48.87
SPY,14/04/2022,437.79,444.32,444.79,-0.47,448.81,44.91
SPY,18/04/2022,437.97,443.16,444.14,-0.98,448.48,45.07
SPY,19/04/2022,445.04,443.51,444.23,-0.72,448.52,50.89
