Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,08/01/2016,191.92,1.00,1.00
SPY,15/01/2016,187.81,1.00,1.00
SPY,22/01/2016,190.52,1.00,1.00
SPY,29/01/2016,193.72,1.00,1.00
SPY,05/02/2016,187.95,1.00,1.00
SPY,12/02/2016,186.63,1.00,1.00
SPY,19/02/2016,192.00,1.00,1.00
SPY,26/02/2016,195.09,1.00,1.00
SPY,04/03/2016,200.43,1.00,1.00
SPY,11/03/2016,202.76,1.00,1.00
SPY,18/03/2016,204.38,2.00,1.00
SPY,24/03/2016,203.12,2.00,1.00
SPY,01/04/2016,206.92,3.00,2.00
SPY,08/04/2016,204.50,3.00,2.00
SPY,15/04/2016,207.78,3.00,2.00
SPY,22/04/2016,208.97,3.00,2.00
SPY,29/04/2016,206.33,3.00,2.00
SPY,06/05/2016,205.72,3.00,3.00
SPY,13/05/2016,204.76,3.00,3.00
SPY,20/05/2016,205.49,3.00,3.00
SPY,27/05/2016,210.24,3.00,3.00
SPY,03/06/2016,210.28,3.00,3.00
SPY,10/06/2016,210.07,3.00,3.00
SPY,17/06/2016,206.52,3.00,3.00
SPY,24/06/2016,203.24,3.00,3.00
SPY,01/07/2016,209.92,3.00,3.00
SPY,08/07/2016,212.65,3.00,3.00
SPY,15/07/2016,215.83,3.00,3.00
SPY,22/07/2016,217.24,3.00,3.00
SPY,29/07/2016,217.12,3.00,3.00
SPY,05/08/2016,218.18,3.00,3.00
SPY,12/08/2016,218.46,3.00,3.00
SPY,19/08/2016,218.54,3.00,3.00
SPY,26/08/2016,217.29,3.00,3.00
SPY,02/09/2016,218.37,3.00,3.00
SPY,09/09/2016,213.28,3.00,3.00
SPY,16/09/2016,213.37,3.00,3.00
SPY,23/09/2016,215.99,3.00,3.00
SPY,30/09/2016,216.30,3.00,3.00
SPY,07/10/2016,215.04,3.00,3.00
SPY,14/10/2016,213.12,3.00,3.00
SPY,21/10/2016,213.98,3.00,3.00
SPY,28/10/2016,212.54,3.00,3.00
SPY,04/11/2016,208.55,2.00,3.00
SPY,11/11/2016,216.42,2.00,3.00
SPY,18/11/2016,218.50,3.00,3.00
SPY,25/11/2016,221.52,3.00,3.00
SPY,02/12/2016,219.68,3.00,3.00
SPY,09/12/2016,226.51,3.00,3.00
SPY,16/12/2016,225.04,3.00,3.00
SPY,23/12/2016,225.71,3.00,3.00
SPY,30/12/2016,223.53,3.00,3.00
SPY,06/01/2017,227.21,3.00,3.00
SPY,13/01/2017,227.05,3.00,3.00
SPY,20/01/2017,226.74,3.00,3.00
SPY,27/01/2017,228.97,3.00,3.00
SPY,03/02/2017,229.34,3.00,3.00
SPY,10/02/2017,231.51,3.00,3.00
SPY,17/02/2017,235.09,3.00,3.00
SPY,24/02/2017,236.74,3.00,3.00
SPY,03/03/2017,238.42,3.00,3.00
SPY,10/03/2017,237.69,3.00,3.00
SPY,17/03/2017,237.03,3.00,3.00
SPY,24/03/2017,233.86,3.00,3.00
SPY,31/03/2017,235.74,3.00,3.00
SPY,07/04/2017,235.20,3.00,3.00
SPY,13/04/2017,232.51,3.00,3.00
SPY,21/04/2017,234.59,3.00,3.00
SPY,28/04/2017,238.08,3.00,3.00
SPY,05/05/2017,239.70,3.00,3.00
SPY,12/05/2017,238.98,3.00,3.00
SPY,19/05/2017,238.31,3.00,3.00
SPY,26/05/2017,241.71,3.00,3.00
SPY,02/06/2017,244.17,3.00,3.00
SPY,09/06/2017,243.41,3.00,3.00
SPY,16/06/2017,242.64,3.00,3.00
SPY,23/06/2017,243.13,3.00,3.00
SPY,30/06/2017,241.80,3.00,3.00
SPY,07/07/2017,242.11,3.00,3.00
SPY,14/07/2017,245.56,3.00,3.00
SPY,21/07/2017,246.88,3.00,3.00
SPY,28/07/2017,246.91,3.00,3.00
SPY,04/08/2017,247.41,3.00,3.00
SPY,11/08/2017,244.12,3.00,3.00
SPY,18/08/2017,242.71,3.00,3.00
SPY,25/08/2017,244.56,3.00,3.00
SPY,01/09/2017,247.84,3.00,3.00
SPY,08/09/2017,246.58,3.00,3.00
SPY,15/09/2017,249.19,3.00,3.00
SPY,22/09/2017,249.44,3.00,3.00
SPY,29/09/2017,251.23,3.00,3.00
SPY,06/10/2017,254.37,3.00,3.00
SPY,13/10/2017,254.95,3.00,3.00
SPY,20/10/2017,257.11,3.00,3.00
SPY,27/10/2017,257.71,3.00,3.00
SPY,03/11/2017,258.45,3.00,3.00
SPY,10/11/2017,258.09,3.00,3.00
SPY,17/11/2017,257.86,3.00,3.00
SPY,24/11/2017,260.36,3.00,3.00
SPY,01/12/2017,264.46,3.00,3.00
SPY,08/12/2017,265.51,3.00,3.00
SPY,15/12/2017,266.51,3.00,3.00
SPY,22/12/2017,267.51,3.00,3.00
SPY,29/12/2017,266.86,3.00,3.00
SPY,05/01/2018,273.42,3.00,3.00
SPY,12/01/2018,277.92,3.00,3.00
SPY,19/01/2018,280.41,3.00,3.00
SPY,26/01/2018,286.58,3.00,3.00
SPY,02/02/2018,275.45,3.00,3.00
SPY,09/02/2018,261.50,3.00,3.00
SPY,16/02/2018,273.11,3.00,3.00
SPY,23/02/2018,274.71,3.00,3.00
SPY,02/03/2018,269.08,3.00,3.00
SPY,09/03/2018,278.87,3.00,3.00
SPY,16/03/2018,274.20,3.00,3.00
SPY,23/03/2018,258.05,3.00,3.00
SPY,29/03/2018,263.15,3.00,3.00
SPY,06/04/2018,259.72,2.00,3.00
SPY,13/04/2018,265.15,2.00,3.00
SPY,20/04/2018,266.61,2.00,3.00
SPY,27/04/2018,266.56,2.00,3.00
SPY,04/05/2018,266.02,2.00,3.00
SPY,11/05/2018,272.85,3.00,3.00
SPY,18/05/2018,271.33,3.00,3.00
SPY,25/05/2018,272.15,3.00,3.00
SPY,01/06/2018,273.60,3.00,3.00
SPY,08/06/2018,278.19,3.00,3.00
SPY,15/06/2018,277.13,3.00,3.00
SPY,22/06/2018,274.74,3.00,3.00
SPY,29/06/2018,271.28,3.00,3.00
SPY,06/07/2018,275.42,3.00,3.00
SPY,13/07/2018,279.59,3.00,3.00
SPY,20/07/2018,279.68,3.00,3.00
SPY,27/07/2018,281.42,3.00,3.00
SPY,03/08/2018,283.60,3.00,3.00
SPY,10/08/2018,283.16,3.00,3.00
SPY,17/08/2018,285.06,3.00,3.00
SPY,24/08/2018,287.51,3.00,3.00
SPY,31/08/2018,290.31,3.00,3.00
SPY,07/09/2018,287.60,3.00,3.00
SPY,14/09/2018,290.88,3.00,3.00
SPY,21/09/2018,291.99,3.00,3.00
SPY,28/09/2018,290.72,3.00,3.00
SPY,05/10/2018,287.82,3.00,3.00
SPY,12/10/2018,275.95,3.00,3.00
SPY,19/10/2018,276.25,3.00,3.00
SPY,26/10/2018,265.33,2.00,3.00
SPY,02/11/2018,271.89,1.00,2.00
SPY,09/11/2018,277.76,1.00,2.00
SPY,16/11/2018,273.73,1.00,2.00
SPY,23/11/2018,263.25,1.00,2.00
SPY,30/11/2018,275.65,1.00,2.00
SPY,07/12/2018,263.57,1.00,2.00
SPY,14/12/2018,260.47,1.00,1.00
SPY,21/12/2018,240.70,1.00,1.00
SPY,28/12/2018,247.75,1.00,1.00
SPY,04/01/2019,252.39,1.00,1.00
SPY,11/01/2019,258.98,1.00,1.00
SPY,18/01/2019,266.46,1.00,1.00
SPY,25/01/2019,265.78,1.00,1.00
SPY,01/02/2019,270.06,1.00,1.00
SPY,08/02/2019,270.47,2.00,1.00
SPY,15/02/2019,277.37,2.00,1.00
SPY,22/02/2019,279.14,3.00,2.00
SPY,01/03/2019,280.42,3.00,2.00
SPY,08/03/2019,274.46,3.00,2.00
SPY,15/03/2019,281.31,3.00,2.00
SPY,22/03/2019,279.25,3.00,2.00
SPY,29/03/2019,282.48,3.00,2.00
SPY,05/04/2019,288.57,3.00,3.00
SPY,12/04/2019,290.16,3.00,3.00
SPY,18/04/2019,290.02,3.00,3.00
SPY,26/04/2019,293.41,3.00,3.00
SPY,03/05/2019,294.03,3.00,3.00
SPY,10/05/2019,288.10,3.00,3.00
SPY,17/05/2019,285.84,3.00,3.00
SPY,24/05/2019,282.78,3.00,3.00
SPY,31/05/2019,275.27,3.00,3.00
SPY,07/06/2019,287.65,3.00,3.00
SPY,14/06/2019,289.26,3.00,3.00
SPY,21/06/2019,294.00,3.00,3.00
SPY,28/06/2019,293.00,3.00,3.00
SPY,05/07/2019,298.46,3.00,3.00
SPY,12/07/2019,300.65,3.00,3.00
SPY,19/07/2019,297.17,3.00,3.00
SPY,26/07/2019,302.01,3.00,3.00
SPY,02/08/2019,292.62,3.00,3.00
SPY,09/08/2019,291.62,3.00,3.00
SPY,16/08/2019,288.85,3.00,3.00
SPY,23/08/2019,284.85,3.00,3.00
SPY,30/08/2019,292.45,2.00,3.00
SPY,06/09/2019,298.05,3.00,3.00
SPY,13/09/2019,301.09,3.00,3.00
SPY,20/09/2019,298.28,3.00,3.00
SPY,27/09/2019,295.40,3.00,3.00
SPY,04/10/2019,294.35,3.00,3.00
SPY,11/10/2019,296.28,3.00,3.00
SPY,18/10/2019,297.97,3.00,3.00
SPY,25/10/2019,301.60,3.00,3.00
SPY,01/11/2019,306.14,3.00,3.00
SPY,08/11/2019,308.94,3.00,3.00
SPY,15/11/2019,311.79,3.00,3.00
SPY,22/11/2019,310.96,3.00,3.00
SPY,29/11/2019,314.31,3.00,3.00
SPY,06/12/2019,314.87,3.00,3.00
SPY,13/12/2019,317.32,3.00,3.00
SPY,20/12/2019,320.73,3.00,3.00
SPY,27/12/2019,322.86,3.00,3.00
SPY,03/01/2020,322.41,3.00,3.00
SPY,10/01/2020,325.71,3.00,3.00
SPY,17/01/2020,331.95,3.00,3.00
SPY,24/01/2020,328.77,3.00,3.00
SPY,31/01/2020,321.73,3.00,3.00
SPY,07/02/2020,332.20,3.00,3.00
SPY,14/02/2020,337.60,3.00,3.00
SPY,21/02/2020,333.48,3.00,3.00
SPY,28/02/2020,296.26,3.00,3.00
SPY,06/03/2020,297.46,3.00,3.00
SPY,13/03/2020,269.32,1.00,2.00
SPY,20/03/2020,228.80,1.00,2.00
SPY,27/03/2020,253.42,1.00,2.00
SPY,03/04/2020,248.19,1.00,1.00
SPY,09/04/2020,278.20,1.00,1.00
SPY,17/04/2020,286.64,1.00,1.00
SPY,24/04/2020,282.97,1.00,1.00
SPY,01/05/2020,282.79,1.00,1.00
SPY,08/05/2020,292.44,1.00,1.00
SPY,15/05/2020,286.28,1.00,1.00
SPY,22/05/2020,295.44,1.00,1.00
SPY,29/05/2020,304.32,2.00,1.00
SPY,05/06/2020,319.34,3.00,2.00
