Ticker,Date/Time,Close,Signal10_20_15,MACD10_20,MA5_RSI10,RSI15,EMA10,EMA20,MA20
TSF-A,06/01/2012,24.18,-0.18,0.06,55.28,52.53,23.84,23.78,24.22
TSF-A,13/01/2012,24.54,-0.14,0.12,55.85,54.84,23.97,23.85,24.25
TSF-A,20/01/2012,24.98,-0.10,0.20,57.21,57.46,24.15,23.96,24.28
TSF-A,27/01/2012,25.33,-0.05,0.28,59.23,59.50,24.37,24.09,24.34
TSF-A,03/02/2012,25.83,0.00,0.38,62.28,62.31,24.63,24.25,24.39
TSF-A,10/02/2012,26.30,0.06,0.49,65.85,64.73,24.94,24.45,24.45
TSF-A,17/02/2012,26.69,0.13,0.59,69.16,66.62,25.25,24.66,24.51
TSF-A,24/02/2012,27.01,0.20,0.69,72.04,68.15,25.57,24.89,24.58
TSF-A,02/03/2012,27.75,0.28,0.81,75.06,71.37,25.97,25.16,24.65
TSF-A,09/03/2012,27.56,0.35,0.87,76.56,69.39,26.26,25.39,24.70
TSF-A,16/03/2012,28.35,0.43,0.97,78.20,72.72,26.64,25.67,24.76
TSF-A,23/03/2012,28.67,0.51,1.05,79.63,73.91,27.01,25.96,24.80
TSF-A,30/03/2012,28.75,0.58,1.10,80.76,74.24,27.33,26.22,24.85
TSF-A,05/04/2012,28.38,0.64,1.09,79.66,70.11,27.52,26.43,24.89
TSF-A,12/04/2012,28.00,0.69,1.03,77.89,66.12,27.61,26.58,24.93
TSF-A,20/04/2012,28.88,0.74,1.04,76.56,70.31,27.84,26.80,25.01
TSF-A,27/04/2012,29.11,0.78,1.05,75.24,71.32,28.07,27.02,25.08
TSF-A,04/05/2012,29.49,0.81,1.07,74.29,72.93,28.33,27.25,25.16
TSF-A,11/05/2012,28.47,0.83,0.98,71.56,62.78,28.35,27.37,25.22
TSF-A,18/05/2012,27.67,0.83,0.83,68.33,56.23,28.23,27.40,25.28
TSF-A,25/05/2012,27.30,0.81,0.67,63.11,53.41,28.06,27.39,25.35
TSF-A,01/06/2012,26.76,0.77,0.50,56.59,49.62,27.82,27.33,25.41
TSF-A,08/06/2012,27.08,0.73,0.38,50.39,51.82,27.69,27.31,25.48
TSF-A,15/06/2012,28.11,0.68,0.38,49.46,58.09,27.77,27.38,25.55
TSF-A,22/06/2012,27.76,0.64,0.35,49.66,55.45,27.77,27.42,25.59
TSF-A,29/06/2012,28.42,0.61,0.37,51.79,59.16,27.88,27.51,25.66
TSF-A,06/07/2012,28.87,0.58,0.42,55.64,61.57,28.06,27.64,25.72
TSF-A,13/07/2012,29.28,0.57,0.49,59.34,63.61,28.28,27.80,25.77
TSF-A,20/07/2012,29.02,0.56,0.50,60.34,61.39,28.42,27.91,25.84
TSF-A,27/07/2012,28.49,0.55,0.46,60.78,57.04,28.43,27.97,25.92
TSF-A,03/08/2012,29.09,0.54,0.48,61.14,60.46,28.55,28.08,26.00
TSF-A,10/08/2012,29.46,0.54,0.51,61.36,62.40,28.72,28.21,26.10
TSF-A,17/08/2012,29.66,0.54,0.54,61.31,63.44,28.89,28.35,26.20
TSF-A,24/08/2012,30.30,0.55,0.61,62.88,66.67,29.14,28.53,26.31
TSF-A,31/08/2012,29.79,0.55,0.61,64.31,62.03,29.26,28.65,26.42
TSF-A,07/09/2012,30.36,0.57,0.65,65.54,64.94,29.46,28.81,26.58
TSF-A,14/09/2012,31.13,0.59,0.73,67.17,68.46,29.76,29.04,26.78
TSF-A,21/09/2012,31.17,0.61,0.78,68.54,68.65,30.02,29.24,26.97
TSF-A,28/09/2012,31.12,0.64,0.80,68.81,68.17,30.22,29.42,27.14
TSF-A,05/10/2012,31.19,0.66,0.81,70.65,68.51,30.40,29.59,27.34
TSF-A,12/10/2012,31.03,0.67,0.79,71.01,66.71,30.51,29.72,27.49
TSF-A,19/10/2012,31.28,0.69,0.78,70.81,68.09,30.65,29.87,27.66
TSF-A,26/10/2012,30.40,0.69,0.68,67.52,58.76,30.61,29.92,27.80
TSF-A,02/11/2012,30.75,0.68,0.63,65.16,61.05,30.63,30.00,27.96
TSF-A,09/11/2012,30.48,0.66,0.56,61.87,58.36,30.60,30.05,28.11
TSF-A,16/11/2012,30.60,0.64,0.50,59.52,59.26,30.60,30.10,28.23
TSF-A,23/11/2012,30.74,0.62,0.47,57.07,60.21,30.63,30.16,28.36
TSF-A,30/11/2012,31.79,0.61,0.52,59.79,66.83,30.84,30.32,28.51
TSF-A,07/12/2012,32.39,0.61,0.61,62.59,69.87,31.12,30.51,28.68
TSF-A,14/12/2012,32.96,0.62,0.71,66.89,72.42,31.46,30.75,28.85
TSF-A,21/12/2012,32.88,0.64,0.76,70.59,71.55,31.71,30.95,29.03
TSF-A,28/12/2012,33.54,0.67,0.85,74.72,74.45,32.05,31.20,29.21
TSF-A,04/01/2013,34.36,0.70,0.97,77.45,77.47,32.47,31.50,29.40
