Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
SPY,03/01/2023,380.82,383.18,386.38,386.38,-3.20,-1.68,43.84,43.39
SPY,04/01/2023,383.76,383.29,386.13,386.13,-2.84,-1.82,46.73,44.18
SPY,05/01/2023,379.38,382.58,385.49,385.49,-2.91,-1.96,43.18,44.94
SPY,06/01/2023,388.08,383.58,385.73,385.73,-2.16,-1.98,51.08,45.98
SPY,09/01/2023,387.86,384.36,385.94,385.94,-1.58,-1.93,50.88,47.14
SPY,10/01/2023,390.58,385.49,386.38,386.38,-0.89,-1.80,53.21,49.02
SPY,11/01/2023,395.52,387.31,387.25,387.25,0.06,-1.57,57.15,51.10
SPY,12/01/2023,396.96,389.07,388.17,388.17,0.89,-1.26,58.25,54.11
SPY,13/01/2023,398.50,390.78,389.16,389.16,1.62,-0.90,59.44,55.79
SPY,17/01/2023,397.77,392.05,389.98,389.98,2.07,-0.53,58.59,57.33
SPY,18/01/2023,391.49,391.95,390.12,390.12,1.83,-0.24,51.77,57.04
SPY,19/01/2023,388.64,391.35,389.98,389.98,1.37,-0.04,49.00,55.41
SPY,20/01/2023,395.88,392.17,390.54,390.54,1.63,0.17,55.49,54.86
SPY,23/01/2023,400.63,393.71,391.50,391.50,2.21,0.43,59.14,54.80
SPY,24/01/2023,400.20,394.89,392.33,392.33,2.56,0.69,58.68,54.82
SPY,25/01/2023,400.35,395.88,393.10,393.10,2.79,0.96,58.80,56.22
SPY,26/01/2023,404.75,397.49,394.21,394.21,3.29,1.25,62.29,58.88
SPY,27/01/2023,405.68,398.98,395.30,395.30,3.68,1.55,63.00,60.38
SPY,30/01/2023,400.59,399.28,395.80,395.80,3.47,1.79,56.74,59.90
SPY,31/01/2023,406.48,400.59,396.82,396.82,3.77,2.04,61.48,60.46
SPY,01/02/2023,410.80,402.44,398.15,398.15,4.29,2.32,64.54,61.61
SPY,02/02/2023,416.78,405.05,399.92,399.92,5.12,2.67,68.28,62.81
SPY,03/02/2023,412.35,406.38,401.11,401.11,5.27,3.00,63.01,62.81
SPY,06/02/2023,409.83,407.00,401.94,401.94,5.07,3.25,60.18,63.50
SPY,07/02/2023,415.19,408.49,403.20,403.20,5.29,3.51,63.88,63.98
SPY,08/02/2023,410.65,408.88,403.91,403.91,4.97,3.69,58.91,62.85
SPY,09/02/2023,407.09,408.56,404.21,404.21,4.35,3.77,55.30,60.26
SPY,10/02/2023,408.04,408.46,404.58,404.58,3.89,3.79,56.07,58.87
SPY,13/02/2023,412.83,409.26,405.36,405.36,3.89,3.80,59.81,58.79
SPY,14/02/2023,412.64,409.87,406.06,406.06,3.82,3.80,59.59,57.94
SPY,15/02/2023,413.98,410.62,406.81,406.81,3.81,3.80,60.67,58.29
SPY,16/02/2023,408.28,410.19,406.95,406.95,3.24,3.73,54.13,58.05
SPY,17/02/2023,407.26,409.66,406.98,406.98,2.68,3.60,53.03,57.45
SPY,21/02/2023,399.09,407.74,406.23,406.23,1.51,3.34,45.18,54.52
SPY,22/02/2023,398.54,406.07,405.50,405.50,0.57,2.99,44.70,51.54
SPY,23/02/2023,400.66,405.08,405.04,405.04,0.05,2.63,47.01,48.81
SPY,24/02/2023,396.38,403.50,404.21,404.21,-0.71,2.21,43.11,46.61
SPY,27/02/2023,397.73,402.45,403.59,403.59,-1.14,1.79,44.66,44.93
SPY,28/02/2023,396.26,401.33,402.90,402.90,-1.57,1.37,43.29,44.56
SPY,01/03/2023,394.74,400.13,402.12,402.12,-1.99,0.95,41.86,43.99
SPY,02/03/2023,397.81,399.71,401.71,401.71,-2.00,0.58,45.74,43.73
SPY,03/03/2023,404.19,400.52,401.95,401.95,-1.42,0.33,52.75,45.66
SPY,06/03/2023,404.47,401.24,402.19,402.19,-0.95,0.17,53.04,47.33
SPY,07/03/2023,398.27,400.70,401.81,401.81,-1.11,0.01,46.39,47.95
SPY,08/03/2023,398.92,400.38,401.54,401.54,-1.16,-0.14,47.13,49.01
SPY,09/03/2023,391.56,398.77,400.59,400.59,-1.81,-0.35,40.33,47.93
SPY,10/03/2023,385.91,396.43,399.19,399.19,-2.75,-0.65,36.06,44.59
SPY,13/03/2023,385.36,394.42,397.87,397.87,-3.45,-1.00,35.66,41.11
SPY,14/03/2023,391.73,393.93,397.29,397.29,-3.36,-1.29,43.35,40.51
SPY,15/03/2023,389.28,393.09,396.52,396.52,-3.44,-1.56,41.32,39.35
SPY,16/03/2023,396.11,393.64,396.49,396.49,-2.85,-1.72,48.53,40.98
SPY,17/03/2023,389.99,392.97,395.87,395.87,-2.89,-1.87,43.41,42.46
SPY,20/03/2023,393.74,393.11,395.66,395.66,-2.55,-1.95,47.08,44.74
SPY,21/03/2023,398.91,394.17,395.97,395.97,-1.81,-1.94,51.70,46.41
SPY,22/03/2023,392.11,393.79,395.61,395.61,-1.81,-1.92,46.03,47.35
SPY,23/03/2023,393.17,393.68,395.37,395.37,-1.69,-1.89,47.00,47.05
SPY,24/03/2023,395.75,394.06,395.41,395.41,-1.35,-1.82,49.38,48.24
SPY,27/03/2023,396.49,394.50,395.51,395.51,-1.01,-1.72,50.07,48.84
SPY,28/03/2023,395.60,394.70,395.52,395.52,-0.82,-1.61,49.20,48.34
SPY,29/03/2023,401.35,395.91,396.08,396.08,-0.17,-1.43,54.61,50.05
SPY,30/03/2023,403.70,397.32,396.80,396.80,0.52,-1.19,56.63,51.98
SPY,31/03/2023,409.39,399.52,398.00,398.00,1.52,-0.85,61.12,54.32
SPY,03/04/2023,410.95,401.60,399.23,399.23,2.36,-0.45,62.27,56.76
SPY,04/04/2023,408.67,402.88,400.13,400.13,2.75,-0.05,59.52,58.83
SPY,05/04/2023,407.60,403.74,400.84,400.84,2.90,0.32,58.22,59.55
SPY,06/04/2023,409.19,404.73,401.64,401.64,3.09,0.67,59.62,60.15
SPY,10/04/2023,409.61,405.62,402.40,402.40,3.22,0.99,60.00,59.92
SPY,11/04/2023,409.72,406.36,403.10,403.10,3.27,1.27,60.10,59.49
SPY,12/04/2023,408.05,406.67,403.57,403.57,3.10,1.50,57.64,59.12
SPY,13/04/2023,413.47,407.91,404.51,404.51,3.40,1.74,62.92,60.06
SPY,14/04/2023,412.46,408.73,405.27,405.27,3.47,1.95,61.39,60.41
SPY,17/04/2023,413.94,409.68,406.09,406.09,3.59,2.16,62.81,60.97
SPY,18/04/2023,414.21,410.50,406.87,406.87,3.64,2.34,63.07,61.57
SPY,19/04/2023,414.14,411.17,407.56,407.56,3.61,2.50,62.95,62.63
SPY,20/04/2023,411.88,411.30,407.97,407.97,3.32,2.60,58.92,61.83
SPY,21/04/2023,412.20,411.46,408.37,408.37,3.09,2.66,59.32,61.42
SPY,24/04/2023,412.63,411.67,408.78,408.78,2.89,2.69,59.87,60.83
SPY,25/04/2023,406.08,410.66,408.52,408.52,2.13,2.62,48.97,58.01
SPY,26/04/2023,404.36,409.51,408.13,408.13,1.39,2.47,46.58,54.73
SPY,27/04/2023,412.41,410.04,408.53,408.53,1.50,2.35,57.07,54.36
SPY,28/04/2023,415.93,411.11,409.24,409.24,1.87,2.29,60.69,54.64
SPY,01/05/2023,415.51,411.91,409.84,409.84,2.07,2.26,60.05,54.67
SPY,02/05/2023,410.84,411.72,409.93,409.93,1.78,2.20,53.28,55.53
SPY,03/05/2023,408.02,411.04,409.75,409.75,1.29,2.09,49.66,56.15
SPY,04/05/2023,405.13,409.97,409.31,409.31,0.66,1.91,46.21,53.98
SPY,05/05/2023,412.63,410.45,409.63,409.63,0.83,1.77,54.92,52.82
SPY,08/05/2023,412.74,410.87,409.92,409.92,0.95,1.67,55.03,51.82
