Ticker,Date/Time,close
ASP-T12,29/05/2023,11.30
ASP-T12,30/05/2023,11.32
ASP-T12,31/05/2023,11.35
ASP-T12,01/06/2023,11.32
ASP-T12,02/06/2023,11.36
ASP-T12,06/06/2023,11.42
ASP-T12,07/06/2023,11.51
ASP-T12,08/06/2023,11.50
ASP-T12,09/06/2023,11.54
ASP-T12,12/06/2023,11.52
ASP-T12,13/06/2023,11.53
ASP-T12,14/06/2023,11.56
ASP-T12,15/06/2023,11.49
ASP-T12,16/06/2023,11.40
ASP-T12,19/06/2023,11.44
ASP-T12,20/06/2023,11.44
ASP-T12,21/06/2023,11.31
ASP-T12,22/06/2023,11.32
ASP-T12,23/06/2023,11.11
ASP-T12,26/06/2023,10.93
ASP-T12,27/06/2023,10.96
ASP-T12,28/06/2023,10.91
ASP-T12,29/06/2023,11.05
ASP-T12,30/06/2023,11.18
ASP-T12,03/07/2023,11.16
ASP-T12,04/07/2023,11.30
ASP-T12,05/07/2023,11.23
ASP-T12,06/07/2023,11.17
ASP-T12,07/07/2023,11.14
ASP-T12,10/07/2023,11.08
ASP-T12,11/07/2023,11.14
ASP-T12,12/07/2023,11.10
ASP-T12,13/07/2023,11.09
ASP-T12,14/07/2023,11.36
ASP-T12,17/07/2023,11.52
ASP-T12,18/07/2023,11.51
ASP-T12,19/07/2023,11.54
ASP-T12,20/07/2023,11.45
ASP-T12,21/07/2023,11.55
ASP-T12,24/07/2023,11.45
ASP-T12,25/07/2023,11.45
ASP-T12,26/07/2023,11.43
ASP-T12,27/07/2023,11.54
ASP-T12,31/07/2023,11.51
ASP-T12,02/08/2023,11.43
ASP-T12,03/08/2023,11.38
ASP-T12,04/08/2023,11.44
ASP-T12,07/08/2023,11.41
ASP-T12,08/08/2023,11.35
ASP-T12,09/08/2023,11.50
ASP-T12,10/08/2023,11.60
ASP-T12,11/08/2023,11.60
ASP-T12,15/08/2023,11.53
ASP-T12,16/08/2023,11.48
ASP-T12,17/08/2023,11.54
ASP-T12,18/08/2023,11.64
ASP-T12,21/08/2023,11.66
ASP-T12,22/08/2023,11.78
ASP-T12,23/08/2023,11.84
ASP-T12,24/08/2023,11.83
ASP-T12,25/08/2023,11.81
ASP-THEQ,29/05/2023,14.94
ASP-THEQ,30/05/2023,14.94
ASP-THEQ,31/05/2023,15.05
ASP-THEQ,01/06/2023,14.95
ASP-THEQ,02/06/2023,14.98
ASP-THEQ,06/06/2023,15.03
ASP-THEQ,07/06/2023,15.14
ASP-THEQ,08/06/2023,15.20
ASP-THEQ,09/06/2023,15.21
ASP-THEQ,12/06/2023,15.21
ASP-THEQ,13/06/2023,15.24
ASP-THEQ,14/06/2023,15.22
ASP-THEQ,15/06/2023,15.20
ASP-THEQ,16/06/2023,15.13
ASP-THEQ,19/06/2023,15.18
ASP-THEQ,20/06/2023,14.99
ASP-THEQ,21/06/2023,14.81
ASP-THEQ,22/06/2023,14.75
ASP-THEQ,23/06/2023,14.68
ASP-THEQ,26/06/2023,14.38
ASP-THEQ,27/06/2023,14.40
ASP-THEQ,28/06/2023,14.31
ASP-THEQ,29/06/2023,14.44
ASP-THEQ,30/06/2023,14.59
ASP-THEQ,03/07/2023,14.61
ASP-THEQ,04/07/2023,14.82
ASP-THEQ,05/07/2023,14.74
ASP-THEQ,06/07/2023,14.59
ASP-THEQ,07/07/2023,14.63
ASP-THEQ,10/07/2023,14.56
ASP-THEQ,11/07/2023,14.59
ASP-THEQ,12/07/2023,14.50
ASP-THEQ,13/07/2023,14.55
ASP-THEQ,14/07/2023,14.85
ASP-THEQ,17/07/2023,15.05
ASP-THEQ,18/07/2023,15.06
ASP-THEQ,19/07/2023,15.13
ASP-THEQ,20/07/2023,14.95
ASP-THEQ,21/07/2023,15.06
ASP-THEQ,24/07/2023,14.90
ASP-THEQ,25/07/2023,14.91
ASP-THEQ,26/07/2023,14.88
ASP-THEQ,27/07/2023,15.07
ASP-THEQ,31/07/2023,15.04
ASP-THEQ,02/08/2023,14.91
ASP-THEQ,03/08/2023,14.80
ASP-THEQ,04/08/2023,14.83
ASP-THEQ,07/08/2023,14.82
ASP-THEQ,08/08/2023,14.65
ASP-THEQ,09/08/2023,14.80
ASP-THEQ,10/08/2023,14.85
ASP-THEQ,11/08/2023,14.88
ASP-THEQ,15/08/2023,14.67
ASP-THEQ,16/08/2023,14.65
ASP-THEQ,17/08/2023,14.78
ASP-THEQ,18/08/2023,14.82
ASP-THEQ,21/08/2023,14.89
ASP-THEQ,22/08/2023,15.10
ASP-THEQ,23/08/2023,15.16
ASP-THEQ,24/08/2023,15.31
ASP-THEQ,25/08/2023,15.29
K-SET50,29/05/2023,32.97
K-SET50,30/05/2023,32.80
K-SET50,31/05/2023,32.72
K-SET50,01/06/2023,32.46
K-SET50,02/06/2023,32.73
K-SET50,06/06/2023,32.68
K-SET50,07/06/2023,32.80
K-SET50,08/06/2023,33.47
K-SET50,09/06/2023,33.31
K-SET50,12/06/2023,33.25
K-SET50,13/06/2023,33.51
K-SET50,14/06/2023,33.47
K-SET50,15/06/2023,33.52
K-SET50,16/06/2023,33.56
K-SET50,19/06/2023,33.59
K-SET50,20/06/2023,33.06
K-SET50,21/06/2023,32.76
K-SET50,22/06/2023,32.50
K-SET50,23/06/2023,32.46
K-SET50,26/06/2023,32.13
K-SET50,27/06/2023,31.94
K-SET50,28/06/2023,31.71
K-SET50,29/06/2023,31.93
K-SET50,30/06/2023,32.51
K-SET50,03/07/2023,32.62
K-SET50,04/07/2023,32.82
K-SET50,05/07/2023,32.76
K-SET50,06/07/2023,32.34
K-SET50,07/07/2023,32.34
K-SET50,10/07/2023,32.53
K-SET50,11/07/2023,32.58
K-SET50,12/07/2023,32.56
K-SET50,13/07/2023,32.60
K-SET50,14/07/2023,33.16
K-SET50,17/07/2023,33.32
K-SET50,18/07/2023,33.54
K-SET50,19/07/2023,33.51
K-SET50,20/07/2023,33.19
K-SET50,21/07/2023,33.41
K-SET50,24/07/2023,33.37
K-SET50,25/07/2023,33.44
K-SET50,26/07/2023,33.42
K-SET50,27/07/2023,33.85
K-SET50,31/07/2023,34.15
K-SET50,02/08/2023,34.03
K-SET50,03/08/2023,33.49
K-SET50,04/08/2023,33.53
K-SET50,07/08/2023,33.65
K-SET50,08/08/2023,33.30
K-SET50,09/08/2023,33.52
K-SET50,10/08/2023,33.63
K-SET50,11/08/2023,33.63
K-SET50,15/08/2023,33.27
K-SET50,16/08/2023,33.24
K-SET50,17/08/2023,33.42
K-SET50,18/08/2023,33.19
