Ticker,Date/Time,EMA10
SET50,09/01/2009,316.55
SET50,16/01/2009,314.02
SET50,23/01/2009,311.60
SET50,30/01/2009,310.15
SET50,06/02/2009,309.99
SET50,13/02/2009,310.00
SET50,20/02/2009,308.29
SET50,27/02/2009,306.71
SET50,06/03/2009,303.76
SET50,13/03/2009,302.24
SET50,20/03/2009,301.63
SET50,27/03/2009,302.78
SET50,03/04/2009,304.52
SET50,10/04/2009,307.07
SET50,17/04/2009,309.51
SET50,24/04/2009,313.75
SET50,30/04/2009,319.76
SET50,07/05/2009,329.79
SET50,15/05/2009,338.92
SET50,22/05/2009,348.98
SET50,29/05/2009,357.96
SET50,05/06/2009,371.80
SET50,12/06/2009,386.86
SET50,19/06/2009,393.51
SET50,26/06/2009,400.04
SET50,03/07/2009,403.40
SET50,10/07/2009,403.46
SET50,17/07/2009,407.98
SET50,24/07/2009,414.18
SET50,31/07/2009,420.68
SET50,07/08/2009,429.11
SET50,14/08/2009,437.15
SET50,21/08/2009,441.82
SET50,28/08/2009,447.07
SET50,04/09/2009,452.51
SET50,11/09/2009,462.64
SET50,18/09/2009,471.40
SET50,25/09/2009,479.29
SET50,02/10/2009,486.30
SET50,09/10/2009,495.02
SET50,16/10/2009,498.13
SET50,22/10/2009,499.09
SET50,30/10/2009,496.28
SET50,06/11/2009,495.70
SET50,13/11/2009,494.98
SET50,20/11/2009,493.53
SET50,27/11/2009,490.38
SET50,04/12/2009,490.77
SET50,11/12/2009,491.44
SET50,18/12/2009,493.60
SET50,25/12/2009,497.85
SET50,30/12/2009,502.00
SET50,08/01/2010,505.95
SET50,15/01/2010,509.93
SET50,22/01/2010,508.57
SET50,29/01/2010,505.33
SET50,05/02/2010,501.71
SET50,12/02/2010,499.53
SET50,19/02/2010,497.97
SET50,26/02/2010,499.74
SET50,05/03/2010,501.43
SET50,12/03/2010,504.42
SET50,19/03/2010,512.37
SET50,26/03/2010,519.26
SET50,02/04/2010,528.19
SET50,09/04/2010,533.92
SET50,16/04/2010,531.10
SET50,23/04/2010,531.42
SET50,30/04/2010,532.78
SET50,07/05/2010,534.38
SET50,14/05/2010,535.23
SET50,19/05/2010,535.40
SET50,27/05/2010,531.52
SET50,04/06/2010,532.75
SET50,11/06/2010,532.93
SET50,18/06/2010,535.78
SET50,25/06/2010,537.94
SET50,02/07/2010,540.26
SET50,09/07/2010,543.91
SET50,16/07/2010,547.11
SET50,23/07/2010,551.39
SET50,30/07/2010,557.29
SET50,06/08/2010,564.38
SET50,11/08/2010,568.26
SET50,20/08/2010,575.90
SET50,27/08/2010,582.36
SET50,03/09/2010,592.37
SET50,10/09/2010,600.23
SET50,17/09/2010,606.14
SET50,24/09/2010,615.00
SET50,01/10/2010,626.14
SET50,08/10/2010,633.39
SET50,15/10/2010,644.11
SET50,22/10/2010,651.75
SET50,29/10/2010,656.43
SET50,05/11/2010,669.10
SET50,12/11/2010,675.94
SET50,19/11/2010,680.57
SET50,26/11/2010,681.98
SET50,03/12/2010,689.16
SET50,09/12/2010,695.11
SET50,17/12/2010,698.21
SET50,24/12/2010,700.65
SET50,30/12/2010,704.20
SET50,07/01/2011,707.31
SET50,14/01/2011,709.08
SET50,21/01/2011,707.09
SET50,28/01/2011,702.43
SET50,04/02/2011,699.47
SET50,11/02/2011,691.61
SET50,17/02/2011,692.22
SET50,25/02/2011,691.70
SET50,04/03/2011,692.38
SET50,11/03/2011,694.54
SET50,18/03/2011,696.05
SET50,25/03/2011,701.93
SET50,01/04/2011,710.69
SET50,08/04/2011,720.71
SET50,12/04/2011,729.13
SET50,22/04/2011,738.83
SET50,29/04/2011,744.63
SET50,06/05/2011,743.38
SET50,13/05/2011,747.14
SET50,20/05/2011,748.35
SET50,27/05/2011,748.52
SET50,03/06/2011,746.94
SET50,10/06/2011,740.54
SET50,17/06/2011,734.94
SET50,24/06/2011,731.13
SET50,30/06/2011,730.89
SET50,08/07/2011,736.79
SET50,14/07/2011,740.36
SET50,22/07/2011,748.84
SET50,29/07/2011,757.05
SET50,05/08/2011,757.80
SET50,11/08/2011,754.21
SET50,19/08/2011,752.15
SET50,26/08/2011,746.64
SET50,02/09/2011,745.85
SET50,09/09/2011,744.74
SET50,16/09/2011,739.99
SET50,23/09/2011,726.72
SET50,30/09/2011,710.28
SET50,07/10/2011,696.79
SET50,14/10/2011,692.54
SET50,21/10/2011,683.86
SET50,28/10/2011,685.34
SET50,04/11/2011,683.57
SET50,11/11/2011,683.47
SET50,18/11/2011,684.44
SET50,25/11/2011,682.83
SET50,02/12/2011,690.36
SET50,09/12/2011,696.82
SET50,16/12/2011,702.22
SET50,23/12/2011,706.90
SET50,30/12/2011,708.99
SET50,06/01/2012,712.03
SET50,13/01/2012,715.37
SET50,20/01/2012,719.77
SET50,27/01/2012,725.66
SET50,03/02/2012,733.53
SET50,10/02/2012,742.20
SET50,17/02/2012,751.78
SET50,24/02/2012,762.05
SET50,02/03/2012,772.80
SET50,09/03/2012,780.45
SET50,16/03/2012,790.99
SET50,23/03/2012,800.22
SET50,30/03/2012,807.99
SET50,05/04/2012,812.30
SET50,12/04/2012,813.97
SET50,20/04/2012,818.60
SET50,27/04/2012,824.33
SET50,04/05/2012,831.17
SET50,11/05/2012,831.62
SET50,18/05/2012,827.09
SET50,25/05/2012,819.78
SET50,01/06/2012,811.16
SET50,08/06/2012,806.16
SET50,15/06/2012,807.33
SET50,22/06/2012,806.01
SET50,29/06/2012,807.53
SET50,06/07/2012,812.33
SET50,13/07/2012,817.65
SET50,20/07/2012,821.17
SET50,27/07/2012,819.57
SET50,03/08/2012,820.64
SET50,10/08/2012,824.43
SET50,17/08/2012,827.94
SET50,24/08/2012,832.06
SET50,31/08/2012,833.56
SET50,07/09/2012,836.91
SET50,14/09/2012,843.80
SET50,21/09/2012,850.17
SET50,28/09/2012,856.79
SET50,05/10/2012,862.79
SET50,12/10/2012,865.79
SET50,19/10/2012,869.60
SET50,26/10/2012,869.13
SET50,02/11/2012,871.75
SET50,09/11/2012,872.01
SET50,16/11/2012,871.11
SET50,23/11/2012,870.86
SET50,30/11/2012,875.94
SET50,07/12/2012,881.35
SET50,14/12/2012,888.90
SET50,21/12/2012,897.14
SET50,28/12/2012,905.91
SET50,04/01/2013,915.46
SET50,11/01/2013,921.75
SET50,18/01/2013,928.63
SET50,25/01/2013,937.52
SET50,01/02/2013,949.80
SET50,08/02/2013,958.18
SET50,15/02/2013,966.89
SET50,22/02/2013,975.50
SET50,01/03/2013,982.35
SET50,08/03/2013,990.23
SET50,15/03/2013,1000.24
SET50,22/03/2013,996.02
SET50,29/03/2013,1001.27
SET50,05/04/2013,997.86
SET50,12/04/2013,999.60
SET50,19/04/2013,1003.01
SET50,26/04/2013,1010.61
SET50,03/05/2013,1016.45
SET50,10/05/2013,1027.30
SET50,17/05/2013,1036.84
SET50,23/05/2013,1041.87
SET50,31/05/2013,1039.53
SET50,07/06/2013,1033.69
SET50,14/06/2013,1023.72
SET50,21/06/2013,1008.62
SET50,28/06/2013,1003.96
SET50,05/07/2013,999.15
SET50,12/07/2013,997.78
SET50,19/07/2013,999.08
SET50,26/07/2013,999.78
SET50,02/08/2013,993.82
SET50,09/08/2013,989.43
SET50,16/08/2013,987.91
SET50,23/08/2013,973.56
SET50,30/08/2013,957.09
SET50,06/09/2013,949.18
SET50,13/09/2013,950.64
SET50,20/09/2013,962.76
SET50,27/09/2013,963.63
SET50,04/10/2013,965.35
SET50,11/10/2013,970.93
SET50,18/10/2013,978.83
SET50,25/10/2013,981.23
SET50,01/11/2013,980.51
SET50,08/11/2013,976.90
SET50,15/11/2013,975.84
SET50,22/11/2013,966.98
SET50,29/11/2013,961.20
SET50,06/12/2013,955.34
SET50,13/12/2013,947.64
SET50,20/12/2013,942.03
SET50,27/12/2013,931.37
SET50,03/01/2014,912.92
SET50,10/01/2014,902.98
SET50,17/01/2014,899.52
SET50,24/01/2014,899.40
SET50,31/01/2014,893.39
SET50,07/02/2014,890.90
SET50,13/02/2014,890.74
