Ticker,Date/Time,Close,Signal10_20_15,MACD10_20,MA5_RSI10,RSI15
SPY,04/01/2016,201.02,-0.45,-0.64,48.19,41.95
SPY,05/01/2016,201.36,-0.50,-0.84,46.25,42.69
SPY,06/01/2016,198.82,-0.59,-1.19,42.05,38.74
SPY,07/01/2016,194.05,-0.74,-1.84,37.22,32.67
SPY,08/01/2016,191.92,-0.96,-2.48,32.98,30.38
SPY,11/01/2016,192.11,-1.20,-2.89,30.22,30.85
SPY,12/01/2016,193.66,-1.43,-3.01,28.43,34.63
SPY,13/01/2016,188.83,-1.68,-3.46,26.36,29.28
SPY,14/01/2016,191.93,-1.91,-3.47,27.87,36.07
SPY,15/01/2016,187.81,-2.14,-3.78,28.76,31.73
SPY,19/01/2016,188.06,-2.36,-3.91,29.66,32.26
SPY,20/01/2016,185.65,-2.59,-4.16,28.73,29.87
SPY,21/01/2016,186.69,-2.78,-4.17,29.86,32.20
SPY,22/01/2016,190.52,-2.91,-3.78,31.27,40.05
SPY,25/01/2016,187.64,-3.00,-3.68,32.82,36.63
SPY,26/01/2016,190.20,-3.04,-3.31,35.56,41.39
SPY,27/01/2016,188.13,-3.06,-3.17,38.18,38.86
SPY,28/01/2016,189.11,-3.04,-2.92,40.61,40.70
SPY,29/01/2016,193.72,-2.95,-2.28,42.90,48.51
SPY,01/02/2016,193.65,-2.80,-1.78,46.17,48.40
SPY,02/02/2016,190.16,-2.66,-1.68,46.50,43.44
SPY,03/02/2016,191.30,-2.51,-1.48,48.16,45.40
SPY,04/02/2016,191.60,-2.36,-1.28,49.44,45.93
SPY,05/02/2016,187.95,-2.24,-1.42,46.94,40.79
SPY,08/02/2016,185.42,-2.18,-1.72,43.55,37.66
SPY,09/02/2016,185.43,-2.14,-1.92,41.75,37.68
SPY,10/02/2016,185.27,-2.13,-2.04,39.31,37.47
SPY,11/02/2016,182.86,-2.15,-2.30,35.81,34.40
SPY,12/02/2016,186.63,-2.15,-2.13,36.43,42.33
SPY,16/02/2016,189.78,-2.09,-1.70,39.60,47.96
SPY,17/02/2016,192.88,-1.97,-1.08,44.08,52.82
SPY,18/02/2016,192.09,-1.80,-0.67,48.19,51.50
