Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,04/01/2016,201.02,1.00,1.00
SPY,05/01/2016,201.36,1.00,1.00
SPY,06/01/2016,198.82,1.00,1.00
SPY,07/01/2016,194.05,1.00,1.00
SPY,08/01/2016,191.92,1.00,1.00
SPY,11/01/2016,192.11,1.00,1.00
SPY,12/01/2016,193.66,1.00,1.00
SPY,13/01/2016,188.83,1.00,1.00
SPY,14/01/2016,191.93,1.00,1.00
SPY,15/01/2016,187.81,1.00,1.00
SPY,19/01/2016,188.06,1.00,1.00
SPY,20/01/2016,185.65,1.00,1.00
SPY,21/01/2016,186.69,1.00,1.00
SPY,22/01/2016,190.52,1.00,1.00
SPY,25/01/2016,187.64,1.00,1.00
SPY,26/01/2016,190.20,1.00,1.00
SPY,27/01/2016,188.13,1.00,1.00
SPY,28/01/2016,189.11,1.00,1.00
SPY,29/01/2016,193.72,1.00,1.00
SPY,01/02/2016,193.65,1.00,1.00
SPY,02/02/2016,190.16,1.00,1.00
SPY,03/02/2016,191.30,1.00,1.00
SPY,04/02/2016,191.60,1.00,1.00
SPY,05/02/2016,187.95,1.00,1.00
SPY,08/02/2016,185.42,1.00,1.00
SPY,09/02/2016,185.43,1.00,1.00
SPY,10/02/2016,185.27,1.00,1.00
SPY,11/02/2016,182.86,1.00,1.00
SPY,12/02/2016,186.63,1.00,1.00
SPY,16/02/2016,189.78,1.00,1.00
SPY,17/02/2016,192.88,1.00,1.00
SPY,18/02/2016,192.09,1.00,1.00
SPY,19/02/2016,192.00,2.00,1.00
SPY,22/02/2016,194.78,3.00,2.00
SPY,23/02/2016,192.32,3.00,2.00
SPY,24/02/2016,193.20,3.00,2.00
SPY,25/02/2016,195.54,3.00,2.00
SPY,26/02/2016,195.09,3.00,2.00
SPY,29/02/2016,193.56,3.00,2.00
SPY,01/03/2016,198.11,3.00,2.00
SPY,02/03/2016,199.00,3.00,3.00
SPY,03/03/2016,199.78,3.00,3.00
SPY,04/03/2016,200.43,3.00,3.00
SPY,07/03/2016,200.59,3.00,3.00
SPY,08/03/2016,198.40,3.00,3.00
SPY,09/03/2016,199.38,3.00,3.00
SPY,10/03/2016,199.54,3.00,3.00
SPY,11/03/2016,202.76,3.00,3.00
SPY,14/03/2016,202.50,3.00,3.00
SPY,15/03/2016,202.17,3.00,3.00
SPY,16/03/2016,203.34,3.00,3.00
SPY,17/03/2016,204.63,3.00,3.00
SPY,18/03/2016,204.38,3.00,3.00
SPY,21/03/2016,204.67,3.00,3.00
SPY,22/03/2016,204.56,3.00,3.00
SPY,23/03/2016,203.21,3.00,3.00
SPY,24/03/2016,203.12,3.00,3.00
SPY,28/03/2016,203.24,3.00,3.00
SPY,29/03/2016,205.12,3.00,3.00
SPY,30/03/2016,206.02,3.00,3.00
SPY,31/03/2016,205.52,3.00,3.00
SPY,01/04/2016,206.92,3.00,3.00
SPY,04/04/2016,206.25,3.00,3.00
SPY,05/04/2016,204.19,3.00,3.00
SPY,06/04/2016,206.42,3.00,3.00
SPY,07/04/2016,203.95,3.00,3.00
SPY,08/04/2016,204.50,3.00,3.00
SPY,11/04/2016,204.02,3.00,3.00
SPY,12/04/2016,205.92,3.00,3.00
SPY,13/04/2016,208.00,3.00,3.00
SPY,14/04/2016,208.01,3.00,3.00
SPY,15/04/2016,207.78,3.00,3.00
SPY,18/04/2016,209.24,3.00,3.00
SPY,19/04/2016,209.90,3.00,3.00
SPY,20/04/2016,210.10,3.00,3.00
SPY,21/04/2016,208.97,3.00,3.00
SPY,22/04/2016,208.97,3.00,3.00
SPY,25/04/2016,208.61,3.00,3.00
SPY,26/04/2016,208.92,3.00,3.00
SPY,27/04/2016,209.35,3.00,3.00
SPY,28/04/2016,207.45,3.00,3.00
SPY,29/04/2016,206.33,3.00,3.00
SPY,02/05/2016,207.97,3.00,3.00
SPY,03/05/2016,206.16,3.00,3.00
SPY,04/05/2016,205.01,2.00,3.00
SPY,05/05/2016,204.97,2.00,3.00
SPY,06/05/2016,205.72,1.00,2.00
SPY,09/05/2016,205.89,1.00,2.00
SPY,10/05/2016,208.45,2.00,3.00
SPY,11/05/2016,206.50,2.00,3.00
SPY,12/05/2016,206.56,1.00,2.00
SPY,13/05/2016,204.76,1.00,2.00
SPY,16/05/2016,206.78,1.00,2.00
SPY,17/05/2016,204.85,1.00,2.00
SPY,18/05/2016,204.91,1.00,2.00
SPY,19/05/2016,204.20,1.00,2.00
SPY,20/05/2016,205.49,1.00,2.00
SPY,23/05/2016,205.21,1.00,1.00
SPY,24/05/2016,207.87,1.00,1.00
SPY,25/05/2016,209.28,3.00,2.00
SPY,26/05/2016,209.34,3.00,3.00
SPY,27/05/2016,210.24,3.00,3.00
SPY,31/05/2016,209.84,3.00,3.00
SPY,01/06/2016,210.27,3.00,3.00
SPY,02/06/2016,210.91,3.00,3.00
SPY,03/06/2016,210.28,3.00,3.00
SPY,06/06/2016,211.35,3.00,3.00
SPY,07/06/2016,211.68,3.00,3.00
SPY,08/06/2016,212.37,3.00,3.00
SPY,09/06/2016,212.08,3.00,3.00
SPY,10/06/2016,210.07,3.00,3.00
SPY,13/06/2016,208.45,3.00,3.00
SPY,14/06/2016,208.04,3.00,3.00
SPY,15/06/2016,207.75,2.00,3.00
SPY,16/06/2016,208.37,2.00,3.00
SPY,17/06/2016,206.52,1.00,2.00
SPY,20/06/2016,207.85,1.00,2.00
SPY,21/06/2016,208.44,1.00,2.00
SPY,22/06/2016,208.10,1.00,2.00
SPY,23/06/2016,210.81,2.00,3.00
SPY,24/06/2016,203.24,1.00,2.00
