Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
QQQ,04/01/2016,109.50,112.04,112.37,112.37,-0.33,-0.10,40.84,49.31
QQQ,05/01/2016,109.31,111.54,112.08,112.08,-0.54,-0.15,40.35,47.35
QQQ,06/01/2016,108.26,110.95,111.72,111.72,-0.77,-0.23,37.70,43.70
QQQ,07/01/2016,104.87,109.84,111.07,111.07,-1.22,-0.35,30.71,39.41
QQQ,08/01/2016,104.01,108.78,110.39,110.39,-1.61,-0.51,29.24,35.77
QQQ,11/01/2016,104.33,107.97,109.82,109.82,-1.84,-0.68,30.57,33.71
QQQ,12/01/2016,105.54,107.53,109.41,109.41,-1.88,-0.83,35.47,32.74
QQQ,13/01/2016,101.90,106.51,108.69,108.69,-2.19,-1.00,28.89,30.98
QQQ,14/01/2016,104.07,106.06,108.25,108.25,-2.19,-1.15,36.42,32.12
QQQ,15/01/2016,100.84,105.11,107.55,107.55,-2.43,-1.31,31.16,32.50
QQQ,19/01/2016,101.06,104.38,106.93,106.93,-2.55,-1.46,31.88,32.77
QQQ,20/01/2016,100.75,103.72,106.34,106.34,-2.62,-1.61,31.39,31.95
QQQ,21/01/2016,100.85,103.20,105.82,105.82,-2.62,-1.73,31.75,32.52
QQQ,22/01/2016,103.77,103.30,105.62,105.62,-2.32,-1.81,41.51,33.54
QQQ,25/01/2016,102.23,103.11,105.30,105.30,-2.19,-1.86,38.41,34.99
QQQ,26/01/2016,103.15,103.11,105.10,105.10,-1.98,-1.87,41.22,36.85
QQQ,27/01/2016,100.58,102.65,104.67,104.67,-2.01,-1.89,36.26,37.83
QQQ,28/01/2016,102.00,102.53,104.41,104.41,-1.88,-1.89,40.50,39.58
QQQ,29/01/2016,104.13,102.82,104.38,104.38,-1.56,-1.85,46.24,40.52
QQQ,01/02/2016,104.41,103.11,104.39,104.39,-1.27,-1.78,46.96,42.23
QQQ,02/02/2016,102.15,102.94,104.17,104.17,-1.24,-1.71,42.08,42.41
QQQ,03/02/2016,101.66,102.71,103.93,103.93,-1.23,-1.65,41.09,43.37
QQQ,04/02/2016,101.65,102.51,103.72,103.72,-1.20,-1.59,41.07,43.49
QQQ,05/02/2016,98.12,101.71,103.18,103.18,-1.47,-1.58,34.37,41.11
QQQ,08/02/2016,96.62,100.79,102.56,102.56,-1.77,-1.60,32.00,38.12
QQQ,09/02/2016,96.32,99.98,101.96,101.96,-1.99,-1.65,31.53,36.01
QQQ,10/02/2016,96.69,99.38,101.46,101.46,-2.08,-1.70,32.83,34.36
QQQ,11/02/2016,96.55,98.86,100.99,100.99,-2.13,-1.76,32.58,32.66
QQQ,12/02/2016,98.02,98.71,100.71,100.71,-2.00,-1.79,37.89,33.36
QQQ,16/02/2016,100.23,98.99,100.67,100.67,-1.68,-1.77,44.89,35.94
